class,field,access_scope,field_type,description
Repertoire,sample.cell_subset.value,repertoire,string,Commonly-used designation of isolated cell population
Repertoire,sample.cell_subset.id,repertoire,string,Commonly-used designation of isolated cell population (Ontology ID)
Repertoire,sample.cell_phenotype,repertoire,string,List of cellular markers and their expression levels used to isolate the cell population
Repertoire,sample.cell_species.value,repertoire,string,"Binomial designation of the species from which the analyzed cells originate. Typically, this value should be identical to `organism`, if which case it SHOULD NOT be set explicitly. Howver, there are valid experimental setups in which the two might differ, e.g. chimeric animal models. If set, this key will overwrite the `organism` information for all lower layers of the schema."
Repertoire,sample.cell_species.id,repertoire,string,"Binomial designation of the species from which the analyzed cells originate. Typically, this value should be identical to `organism`, if which case it SHOULD NOT be set explicitly. Howver, there are valid experimental setups in which the two might differ, e.g. chimeric animal models. If set, this key will overwrite the `organism` information for all lower layers of the schema. (Ontology ID)"
Repertoire,sample.single_cell,repertoire,boolean,TRUE if single cells were isolated into separate compartments
Repertoire,sample.cell_number,repertoire,integer,Total number of cells that went into the experiment
Repertoire,sample.cells_per_reaction,repertoire,integer,Number of cells for each biological replicate
Repertoire,sample.cell_storage,repertoire,boolean,TRUE if cells were cryo-preserved between isolation and further processing
Repertoire,sample.cell_quality,repertoire,string,Relative amount of viable cells after preparation and (if applicable) thawing
Repertoire,sample.cell_isolation,repertoire,string,Description of the procedure used for marker-based isolation or enrich cells
Repertoire,sample.cell_processing_protocol,repertoire,string,Description of the methods applied to the sample including cell preparation/ isolation/enrichment and nucleic acid extraction. This should closely mirror the Materials and methods section in the manuscript
Repertoire,sample.template_class,sequence,string,The class of nucleic acid that was used as primary starting material for the following procedures
Repertoire,sample.template_quality,sequence,string,Description and results of the quality control performed on the template material
Repertoire,sample.template_amount,sequence,string,Amount of template that went into the process
Repertoire,sample.library_generation_method,sequence,string,Generic type of library generation
Repertoire,sample.library_generation_protocol,sequence,string,Description of processes applied to substrate to obtain a library that is ready for sequencing
Repertoire,sample.library_generation_kit_version,sequence,string,"When using a library generation protocol from a commercial provider, provide the protocol version number"
Repertoire,sample.pcr_target.pcr_target_locus,sequence,string,"Designation of the target locus. Note that this field uses a controlled vocubulary that is meant to provide a generic classification of the locus, not necessarily the correct designation according to a specific nomenclature."
Repertoire,sample.pcr_target.forward_pcr_primer_target_location,sequence,string,Position of the most distal nucleotide templated by the forward primer or primer mix
Repertoire,sample.pcr_target.reverse_pcr_primer_target_location,sequence,string,Position of the most proximal nucleotide templated by the reverse primer or primer mix
Repertoire,sample.complete_sequences,sequence,string,"To be considered `complete`, the procedure used for library construction MUST generate sequences that 1) include the first V gene codon that encodes the mature polypeptide chain (i.e. after the leader sequence) and 2) include the last complete codon of the J gene (i.e. 1 bp 5' of the J->C splice site) and 3) provide sequence information for all positions between 1) and 2). To be considered `complete & untemplated`, the sections of the sequences defined in points 1) to 3) of the previous sentence MUST be untemplated, i.e. MUST NOT overlap with the primers used in library preparation."
Repertoire,sample.physical_linkage,sequence,string,Describes the mode of linkage if a method was used which physically links nucleic acids derived from distinct loci in a single-cell context.
Repertoire,sample.sequencing_run_id,sequence,string,ID of sequencing run assigned by the sequencing facility
Repertoire,sample.total_reads_passing_qc_filter,sequence,integer,Number of usable reads for analysis
Repertoire,sample.sequencing_platform,sequence,string,Designation of sequencing instrument used
Repertoire,sample.sequencing_facility,sequence,string,Name and address of sequencing facility
Repertoire,sample.sequencing_run_date,sequence,string,Date of sequencing run
Repertoire,sample.sequencing_kit,sequence,string,"Name, manufacturer, order and lot numbers of sequencing kit"
Repertoire,sample.sequencing_files.file_type,sequence,string,File format for the raw reads or sequences
Repertoire,sample.sequencing_files.filename,sequence,string,File name for the raw reads or sequences. The first file in paired-read sequencing
Repertoire,sample.sequencing_files.read_direction,sequence,string,Read direction for the raw reads or sequences. The first file in paired-read sequencing
Repertoire,sample.sequencing_files.read_length,sequence,integer,Read length in bases for the first file in paired-read sequencing
Repertoire,sample.sequencing_files.paired_filename,sequence,string,File name for the second file in paired-read sequencing
Repertoire,sample.sequencing_files.paired_read_direction,sequence,string,Read direction for the second file in paired-read sequencing
Repertoire,sample.sequencing_files.paired_read_length,sequence,integer,Read length in bases for the second file in paired-read sequencing
Repertoire,data_processing.data_processing_id,repertoire,string,Identifier for the data processing object.
Repertoire,data_processing.primary_annotation,repertoire,boolean,"If true, indicates this is the primary or default data processing for the repertoire and its rearrangments. If false, indicates this is a secondary or additional data processing."
Repertoire,data_processing.software_versions,repertoire,string,"Version number and / or date, include company pipelines"
Repertoire,data_processing.paired_reads_assembly,repertoire,string,How paired end reads were assembled into a single receptor sequence
Repertoire,data_processing.quality_thresholds,repertoire,string,How sequences were removed from (4) based on base quality scores
Repertoire,data_processing.primer_match_cutoffs,repertoire,string,"How primers were identified in the sequences, were they removed/masked/etc?"
Repertoire,data_processing.collapsing_method,repertoire,string,The method used for combining multiple sequences from (4) into a single sequence in (5)
Repertoire,data_processing.data_processing_protocols,repertoire,string,General description of how QC is performed
Repertoire,data_processing.data_processing_files,repertoire,array_string,Array of file names for data produced by this data processing.
Repertoire,data_processing.germline_database,repertoire,string,Source of germline V(D)J genes with version number or date accessed.
Repertoire,data_processing.analysis_provenance_id,repertoire,string,Identifier for machine-readable PROV model of analysis provenance
Rearrangement,sequence_id,sequence,string,"Unique query sequence identifier within the file. Most often this will be the input sequence header or a substring thereof, but may also be a custom identifier defined by the tool in cases where query sequences have been combined in some fashion prior to alignment."
Rearrangement,sequence,sequence,string,"The query nucleotide sequence. Usually, this is the unmodified input sequence, which may be reverse complemented if necessary. In some cases, this field may contain consensus sequences or other types of collapsed input sequences if these steps are performed prior to alignment."
Rearrangement,sequence_aa,sequence,string,Amino acid translation of the query nucleotide sequence.
Rearrangement,rev_comp,sequence,boolean,"True if the alignment is on the opposite strand (reverse complemented) with respect to the query sequence. If True then all output data, such as alignment coordinates and sequences, are based on the reverse complement of 'sequence'."
Rearrangement,productive,sequence,boolean,True if the V(D)J sequence is predicted to be productive.
Rearrangement,vj_in_frame,sequence,boolean,True if the V and J gene alignments are in-frame.
Rearrangement,stop_codon,sequence,boolean,True if the aligned sequence contains a stop codon.
Rearrangement,complete_vdj,sequence,boolean,"True if the sequence alignment spans the entire V(D)J region. Meaning, sequence_alignment includes both the first V gene codon that encodes the mature polypeptide chain (i.e., after the leader sequence) and the last complete codon of the J gene (i.e., before the J-C splice site). This does not require an absence of deletions within the internal FWR and CDR regions of the alignment."
Rearrangement,locus,sequence,string,"Gene locus (chain type). Note that this field uses a controlled vocabulary that is meant to provide a generic classification of the locus, not necessarily the correct designation according to a specific nomenclature."
Rearrangement,v_call,sequence,string,"V gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHV4-59*01 if using IMGT/GENE-DB)."
Rearrangement,d_call,sequence,string,"First or only D gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHD3-10*01 if using IMGT/GENE-DB)."
Rearrangement,d2_call,sequence,string,"Second D gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHD3-10*01 if using IMGT/GENE-DB)."
Rearrangement,j_call,sequence,string,"J gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHJ4*02 if using IMGT/GENE-DB)."
Rearrangement,c_call,sequence,string,"Constant region gene with allele. If referring to a known reference sequence in a database the relevant gene/allele nomenclature should be followed (e.g., IGHG1*01 if using IMGT/GENE-DB)."
Rearrangement,sequence_alignment,sequence,string,"Aligned portion of query sequence, including any indel corrections or numbering spacers, such as IMGT-gaps. Typically, this will include only the V(D)J region, but that is not a requirement."
Rearrangement,sequence_alignment_aa,sequence,string,Amino acid translation of the aligned query sequence.
Rearrangement,germline_alignment,sequence,string,"Assembled, aligned, full-length inferred germline sequence spanning the same region as the sequence_alignment field (typically the V(D)J region) and including the same set of corrections and spacers (if any)."
Rearrangement,germline_alignment_aa,sequence,string,Amino acid translation of the assembled germline sequence.
Rearrangement,junction,sequence,string,"Junction region nucleotide sequence, where the junction is defined as the CDR3 plus the two flanking conserved codons."
Rearrangement,junction_aa,sequence,string,Amino acid translation of the junction.
Rearrangement,np1,sequence,string,Nucleotide sequence of the combined N/P region between the V gene and first D gene alignment or between the V gene and J gene alignments.
Rearrangement,np1_aa,sequence,string,Amino acid translation of the np1 field.
Rearrangement,np2,sequence,string,Nucleotide sequence of the combined N/P region between either the first D gene and J gene alignments or the first D gene and second D gene alignments.
Rearrangement,np2_aa,sequence,string,Amino acid translation of the np2 field.
Rearrangement,np3,sequence,string,Nucleotide sequence of the combined N/P region between the second D gene and J gene alignments.
Rearrangement,np3_aa,sequence,string,Amino acid translation of the np3 field.
Rearrangement,cdr1,sequence,string,Nucleotide sequence of the aligned CDR1 region.
Rearrangement,cdr1_aa,sequence,string,Amino acid translation of the cdr1 field.
Rearrangement,cdr2,sequence,string,Nucleotide sequence of the aligned CDR2 region.
Rearrangement,cdr2_aa,sequence,string,Amino acid translation of the cdr2 field.
Rearrangement,cdr3,sequence,string,Nucleotide sequence of the aligned CDR3 region.
Rearrangement,cdr3_aa,sequence,string,Amino acid translation of the cdr3 field.
Rearrangement,fwr1,sequence,string,Nucleotide sequence of the aligned FWR1 region.
Rearrangement,fwr1_aa,sequence,string,Amino acid translation of the fwr1 field.
Rearrangement,fwr2,sequence,string,Nucleotide sequence of the aligned FWR2 region.
Rearrangement,fwr2_aa,sequence,string,Amino acid translation of the fwr2 field.
Rearrangement,fwr3,sequence,string,Nucleotide sequence of the aligned FWR3 region.
Rearrangement,fwr3_aa,sequence,string,Amino acid translation of the fwr3 field.
Rearrangement,fwr4,sequence,string,Nucleotide sequence of the aligned FWR4 region.
Rearrangement,fwr4_aa,sequence,string,Amino acid translation of the fwr4 field.
Rearrangement,v_score,sequence,number,Alignment score for the V gene.
Rearrangement,v_identity,sequence,number,Fractional identity for the V gene alignment.
Rearrangement,v_support,sequence,number,"V gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the V gene assignment as defined by the alignment tool."
Rearrangement,v_cigar,sequence,string,CIGAR string for the V gene alignment.
Rearrangement,d_score,sequence,number,Alignment score for the first or only D gene alignment.
Rearrangement,d_identity,sequence,number,Fractional identity for the first or only D gene alignment.
Rearrangement,d_support,sequence,number,"D gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the first or only D gene as defined by the alignment tool."
Rearrangement,d_cigar,sequence,string,CIGAR string for the first or only D gene alignment.
Rearrangement,d2_score,sequence,number,Alignment score for the second D gene alignment.
Rearrangement,d2_identity,sequence,number,Fractional identity for the second D gene alignment.
Rearrangement,d2_support,sequence,number,"D gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the second D gene as defined by the alignment tool."
Rearrangement,d2_cigar,sequence,string,CIGAR string for the second D gene alignment.
Rearrangement,j_score,sequence,number,Alignment score for the J gene alignment.
Rearrangement,j_identity,sequence,number,Fractional identity for the J gene alignment.
Rearrangement,j_support,sequence,number,"J gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the J gene assignment as defined by the alignment tool."
Rearrangement,j_cigar,sequence,string,CIGAR string for the J gene alignment.
Rearrangement,c_score,sequence,number,Alignment score for the C gene alignment.
Rearrangement,c_identity,sequence,number,Fractional identity for the C gene alignment.
Rearrangement,c_support,sequence,number,"C gene alignment E-value, p-value, likelihood, probability or other similar measure of support for the C gene assignment as defined by the alignment tool."
Rearrangement,c_cigar,sequence,string,CIGAR string for the C gene alignment.
Rearrangement,v_sequence_start,sequence,integer,Start position of the V gene in the query sequence (1-based closed interval).
Rearrangement,v_sequence_end,sequence,integer,End position of the V gene in the query sequence (1-based closed interval).
Rearrangement,v_germline_start,sequence,integer,Alignment start position in the V gene reference sequence (1-based closed interval).
Rearrangement,v_germline_end,sequence,integer,Alignment end position in the V gene reference sequence (1-based closed interval).
Rearrangement,v_alignment_start,sequence,integer,Start position of the V gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,v_alignment_end,sequence,integer,End position of the V gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,d_sequence_start,sequence,integer,Start position of the first or only D gene in the query sequence. (1-based closed interval).
Rearrangement,d_sequence_end,sequence,integer,End position of the first or only D gene in the query sequence. (1-based closed interval).
Rearrangement,d_germline_start,sequence,integer,Alignment start position in the D gene reference sequence for the first or only D gene (1-based closed interval).
Rearrangement,d_germline_end,sequence,integer,Alignment end position in the D gene reference sequence for the first or only D gene (1-based closed interval).
Rearrangement,d_alignment_start,sequence,integer,Start position of the first or only D gene in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,d_alignment_end,sequence,integer,End position of the first or only D gene in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,d2_sequence_start,sequence,integer,Start position of the second D gene in the query sequence (1-based closed interval).
Rearrangement,d2_sequence_end,sequence,integer,End position of the second D gene in the query sequence (1-based closed interval).
Rearrangement,d2_germline_start,sequence,integer,Alignment start position in the second D gene reference sequence (1-based closed interval).
Rearrangement,d2_germline_end,sequence,integer,Alignment end position in the second D gene reference sequence (1-based closed interval).
Rearrangement,d2_alignment_start,sequence,integer,Start position of the second D gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,d2_alignment_end,sequence,integer,End position of the second D gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,j_sequence_start,sequence,integer,Start position of the J gene in the query sequence (1-based closed interval).
Rearrangement,j_sequence_end,sequence,integer,End position of the J gene in the query sequence (1-based closed interval).
Rearrangement,j_germline_start,sequence,integer,Alignment start position in the J gene reference sequence (1-based closed interval).
Rearrangement,j_germline_end,sequence,integer,Alignment end position in the J gene reference sequence (1-based closed interval).
Rearrangement,j_alignment_start,sequence,integer,Start position of the J gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,j_alignment_end,sequence,integer,End position of the J gene alignment in both the sequence_alignment and germline_alignment fields (1-based closed interval).
Rearrangement,cdr1_start,sequence,integer,CDR1 start position in the query sequence (1-based closed interval).
Rearrangement,cdr1_end,sequence,integer,CDR1 end position in the query sequence (1-based closed interval).
Rearrangement,cdr2_start,sequence,integer,CDR2 start position in the query sequence (1-based closed interval).
Rearrangement,cdr2_end,sequence,integer,CDR2 end position in the query sequence (1-based closed interval).
Rearrangement,cdr3_start,sequence,integer,CDR3 start position in the query sequence (1-based closed interval).
Rearrangement,cdr3_end,sequence,integer,CDR3 end position in the query sequence (1-based closed interval).
Rearrangement,fwr1_start,sequence,integer,FWR1 start position in the query sequence (1-based closed interval).
Rearrangement,fwr1_end,sequence,integer,FWR1 end position in the query sequence (1-based closed interval).
Rearrangement,fwr2_start,sequence,integer,FWR2 start position in the query sequence (1-based closed interval).
Rearrangement,fwr2_end,sequence,integer,FWR2 end position in the query sequence (1-based closed interval).
Rearrangement,fwr3_start,sequence,integer,FWR3 start position in the query sequence (1-based closed interval).
Rearrangement,fwr3_end,sequence,integer,FWR3 end position in the query sequence (1-based closed interval).
Rearrangement,fwr4_start,sequence,integer,FWR4 start position in the query sequence (1-based closed interval).
Rearrangement,fwr4_end,sequence,integer,FWR4 end position in the query sequence (1-based closed interval).
Rearrangement,v_sequence_alignment,sequence,string,"Aligned portion of query sequence assigned to the V gene, including any indel corrections or numbering spacers."
Rearrangement,v_sequence_alignment_aa,sequence,string,Amino acid translation of the v_sequence_alignment field.
Rearrangement,d_sequence_alignment,sequence,string,"Aligned portion of query sequence assigned to the first or only D gene, including any indel corrections or numbering spacers."
Rearrangement,d_sequence_alignment_aa,sequence,string,Amino acid translation of the d_sequence_alignment field.
Rearrangement,d2_sequence_alignment,sequence,string,"Aligned portion of query sequence assigned to the second D gene, including any indel corrections or numbering spacers."
Rearrangement,d2_sequence_alignment_aa,sequence,string,Amino acid translation of the d2_sequence_alignment field.
Rearrangement,j_sequence_alignment,sequence,string,"Aligned portion of query sequence assigned to the J gene, including any indel corrections or numbering spacers."
Rearrangement,j_sequence_alignment_aa,sequence,string,Amino acid translation of the j_sequence_alignment field.
Rearrangement,c_sequence_alignment,sequence,string,"Aligned portion of query sequence assigned to the constant region, including any indel corrections or numbering spacers."
Rearrangement,c_sequence_alignment_aa,sequence,string,Amino acid translation of the c_sequence_alignment field.
Rearrangement,v_germline_alignment,sequence,string,Aligned V gene germline sequence spanning the same region as the v_sequence_alignment field and including the same set of corrections and spacers (if any).
Rearrangement,v_germline_alignment_aa,sequence,string,Amino acid translation of the v_germline_alignment field.
Rearrangement,d_germline_alignment,sequence,string,Aligned D gene germline sequence spanning the same region as the d_sequence_alignment field and including the same set of corrections and spacers (if any).
Rearrangement,d_germline_alignment_aa,sequence,string,Amino acid translation of the d_germline_alignment field.
Rearrangement,d2_germline_alignment,sequence,string,Aligned D gene germline sequence spanning the same region as the d2_sequence_alignment field and including the same set of corrections and spacers (if any).
Rearrangement,d2_germline_alignment_aa,sequence,string,Amino acid translation of the d2_germline_alignment field.
Rearrangement,j_germline_alignment,sequence,string,Aligned J gene germline sequence spanning the same region as the j_sequence_alignment field and including the same set of corrections and spacers (if any).
Rearrangement,j_germline_alignment_aa,sequence,string,Amino acid translation of the j_germline_alignment field.
Rearrangement,c_germline_alignment,sequence,string,Aligned constant region germline sequence spanning the same region as the c_sequence_alignment field and including the same set of corrections and spacers (if any).
Rearrangement,c_germline_alignment_aa,sequence,string,Amino acid translation of the c_germline_aligment field.
Rearrangement,junction_length,sequence,integer,Number of nucleotides in the junction sequence.
Rearrangement,junction_aa_length,sequence,integer,Number of amino acids in the junction sequence.
Rearrangement,np1_length,sequence,integer,Number of nucleotides between the V gene and first D gene alignments or between the V gene and J gene alignments.
Rearrangement,np2_length,sequence,integer,Number of nucleotides between either the first D gene and J gene alignments or the first D gene and second D gene alignments.
Rearrangement,np3_length,sequence,integer,Number of nucleotides between the second D gene and J gene alignments.
Rearrangement,n1_length,sequence,integer,Number of untemplated nucleotides 5' of the first or only D gene alignment.
Rearrangement,n2_length,sequence,integer,Number of untemplated nucleotides 3' of the first or only D gene alignment.
Rearrangement,n3_length,sequence,integer,Number of untemplated nucleotides 3' of the second D gene alignment.
Rearrangement,p3v_length,sequence,integer,Number of palindromic nucleotides 3' of the V gene alignment.
Rearrangement,p5d_length,sequence,integer,Number of palindromic nucleotides 5' of the first or only D gene alignment.
Rearrangement,p3d_length,sequence,integer,Number of palindromic nucleotides 3' of the first or only D gene alignment.
Rearrangement,p5d2_length,sequence,integer,Number of palindromic nucleotides 5' of the second D gene alignment.
Rearrangement,p3d2_length,sequence,integer,Number of palindromic nucleotides 3' of the second D gene alignment.
Rearrangement,p5j_length,sequence,integer,Number of palindromic nucleotides 5' of the J gene alignment.
Rearrangement,consensus_count,sequence,integer,"Number of reads contributing to the (UMI) consensus for this sequence. For example, the sum of the number of reads for all UMIs that contribute to the query sequence."
Rearrangement,duplicate_count,sequence,integer,"Copy number or number of duplicate observations for the query sequence. For example, the number of UMIs sharing an identical sequence or the number of identical observations of this sequence absent UMIs."
Rearrangement,cell_id,sequence,string,Identifier defining the cell of origin for the query sequence.
Rearrangement,clone_id,sequence,string,Clonal cluster assignment for the query sequence.
Rearrangement,rearrangement_id,sequence,string,"Identifier for the Rearrangement object. May be identical to sequence_id, but will usually be a universally unique record locator for database applications."
Rearrangement,repertoire_id,sequence,string,Identifier to the associated repertoire in study metadata.
Rearrangement,sample_processing_id,sequence,string,Identifier to the sample processing object in the repertoire metadata for this rearrangement. If the repertoire has a single sample then this field may be empty or missing. If the repertoire has multiple samples then this field may be empty or missing if the sample cannot be differentiated or the relationship is not maintained by the data processing.
Rearrangement,data_processing_id,sequence,string,Identifier to the data processing object in the repertoire metadata for this rearrangement. If this field is empty than the primary data processing object is assumed.
Rearrangement,germline_database,sequence,string,Source of germline V(D)J genes with version number or date accessed.
